timestamp,page_id,position,card_id_predicted,card_name,confidence,method,ocr_name,ocr_conf,variant_detected,variant_correct,is_correct
2026-04-06T19:53:43+00:00,page_20260307_132359_cards,5,dp3-131/normal,Gardevoir,0.8823,v2_ref_match,Gardevoir,0.8823,normal,,True
2026-04-06T19:53:43+00:00,page_20260307_132359_cards,6,dp6-143/normal,Mesprit,0.8488,v2_single_candidate,Mesprit,0.8488,normal,,True
2026-04-06T19:53:44+00:00,page_20260307_132359_cards,7,pl4-98/normal,Salamence,0.8818,v2_ref_match,Salamence,0.8818,normal,,True
2026-04-06T19:53:45+00:00,page_20260307_132359_cards,8,dpp-DP56/normal,Arceus,0.8732,v2_ref_match,Arceus,0.8732,normal,,True
2026-04-06T19:53:46+00:00,page_20260309_225737_cards,0,,,0.95,v2_card_back,,,normal,,
2026-04-06T19:53:47+00:00,page_20260309_225737_cards,1,sv2-61/normal,Chien-Pao ex,0.9516,v2_ref_match,Chien-Pao ex,0.9516,normal,,True
2026-04-06T19:53:49+00:00,page_20260309_225737_cards,2,sv6pt5-12/normal,Kingdra ex,0.8943820059299469,v2_attack_fallback,Kingdra ex,,normal,,True
2026-04-06T19:53:50+00:00,page_20260309_225737_cards,3,,,0.95,v2_card_back,,,normal,,
2026-04-06T19:53:51+00:00,page_20260309_225737_cards,4,sv1-32/normal,Arcanine ex,0.9348,v2_ref_match,Arcanine ex,0.9348,normal,,True
2026-04-06T19:53:52+00:00,page_20260309_225737_cards,5,sv10-195/normal,Clamperl,0.9002,v2_ref_match,Clamperl,0.9002,normal,,True
2026-04-06T19:53:52+00:00,page_20260309_225737_cards,6,sv6-172/normal,Torkoal,0.96,v2_ref_match,Torkoal,0.96,normal,,True
2026-04-06T19:53:54+00:00,page_20260309_225737_cards,7,sv3pt5-205/normal,Mew ex,0.8125,v2_ref_match,Mew ex,0.8125,normal,,True
2026-04-06T19:53:55+00:00,page_20260309_225737_cards,8,sv7-110/normal,Orthworm ex,0.9426,v2_ref_match,Orthworm ex,0.9426,normal,,True
2026-04-06T19:53:55+00:00,page_20260320_223702_cards,0,ex1-64/normal,Poochyena,0.9777,v2_ref_match,Poochyena,0.9777,normal,,True
2026-04-06T19:53:56+00:00,page_20260320_223702_cards,1,ex1-64/normal,Poochyena,0.9839,v2_ref_match,Poochyena,0.9839,normal,,True
2026-04-06T19:53:57+00:00,page_20260320_223702_cards,2,ex4-30/normal,Team Aqua's Mightyena,0.8527,v2_single_candidate,Team Aqua's Mightyena,0.8527,normal,,True
2026-04-06T19:53:57+00:00,page_20260320_223702_cards,3,ex4-54/normal,Team Aqua's Poochyena,0.9695,v2_single_candidate,Team Aqua's Poochyena,0.9695,normal,,True
2026-04-06T19:53:57+00:00,page_20260320_223702_cards,4,ex4-55/normal,Team Aqua's Poochyena,0.9694,v2_single_candidate,Team Aqua's Poochyena,0.9694,normal,,True
2026-04-06T19:53:58+00:00,page_20260320_223702_cards,5,ex4-15/normal,Team Aqua's Mightyena,0.9326,v2_single_candidate,Team Aqua's Mightyena,0.9326,normal,,True
2026-04-06T19:53:58+00:00,page_20260320_223702_cards,6,ex4-65/normal,Team Magma's Poochyena,0.9162,v2_single_candidate,Team Magma's Poochyena,0.9162,normal,,True
2026-04-06T19:53:59+00:00,page_20260320_223702_cards,7,ex4-66/normal,Team Magma's Poochyena,0.9646,v2_single_candidate,Team Magma's Poochyena,0.9646,normal,,True
2026-04-06T19:53:59+00:00,page_20260320_223702_cards,8,ex4-21/normal,Team Magma's Mightyena,0.9713,v2_single_candidate,Team Magma's Mightyena,0.9713,normal,,True
2026-04-06T19:54:07+00:00,page_20260320_191743_cards,0,ex13-18/normal,,0.5344719767570496,v2_attack_fallback,,,normal,,True
2026-04-06T19:54:09+00:00,page_20260320_191743_cards,1,pl3-1/normal,Absol G,0.7723,v2_single_candidate,Absol G,0.7723,normal,,True
2026-04-06T19:54:10+00:00,page_20260320_191743_cards,2,pl3-141/normal,Absol G,0.8813,v2_single_candidate,Absol G,0.8813,normal,,True
2026-04-06T19:54:11+00:00,page_20260320_191743_cards,3,hgss4-91/normal,Absol,0.8593,v2_single_candidate,Absol,0.8593,normal,,True
2026-04-06T19:54:14+00:00,page_20260320_191743_cards,4,swsh12pt5gg-GG16/normal,Absol,0.8641,v2_ref_match,Absol,0.8641,normal,,True
2026-04-06T19:54:21+00:00,page_20260320_191743_cards,5,,,0.4399838447570801,unidentified,,,normal,,
2026-04-06T19:54:24+00:00,page_20260320_191743_cards,6,sv6pt5-30/normal,Absol,0.8719,v2_ref_match,Absol,0.8719,normal,,True
2026-04-06T19:54:24+00:00,page_20260320_191743_cards,7,sv3-135/normal,Absol,0.921,v2_ref_match,Absol,0.921,normal,,True
2026-04-06T19:54:27+00:00,page_20260320_191743_cards,8,me1-86/normal,Mega Absol ex,0.8883,v2_ref_match,Mega Absol ex,0.8883,normal,,True
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,0,,,0.3617721498012543,unidentified,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,1,tk2a-5/normal,Metang,0.6965639591217041,v2_ref_match,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,2,xy7-28/normal,M Ampharos-EX,0.7518876075744629,v2_attack_fallback,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,3,ex13-67/normal,Kabuto δ,0.978100539956774,v2_single_candidate,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,4,ex13-9/normal,Kabutops δ,0.9709188111554617,v2_single_candidate,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,5,ex13-14/normal,Pidgeot δ,0.8232598304748535,v2_ref_match,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,6,ex15-56/normal,Nidoran ♀ δ,0.5754266381263733,v2_ref_match,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,7,ex15-23/normal,Tropius δ,0.5217419862747192,v2_ref_match,,,normal,,
2026-04-06T20:24:24+00:00,page_20260406_162414_cards,8,ex15-7/normal,Nidoqueen δ,0.70279860496521,v2_ref_match,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,0,,,0.95,v2_card_back,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,1,ex11-49/normal,Metang δ,0.9055238723754883,v2_ref_match,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,2,ex11-11/normal,Metagross δ,0.811346869468689,v2_attack_fallback,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,3,ex13-67/normal,Kabuto δ,0.8999143947254528,v2_single_candidate,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,4,ex13-9/normal,Kabutops δ,0.9744339873393376,v2_single_candidate,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,5,ex13-14/normal,Pidgeot δ,0.8737180995941162,v2_ref_match,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,6,ex15-56/normal,Nidoran ♀ δ,0.9078357178761043,v2_single_candidate,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,7,ex15-23/normal,Tropius δ,0.9802337646484375,v2_single_candidate,,,normal,,
2026-04-06T22:27:51+00:00,page_20260406_182742_cards,8,ex15-7/normal,Nidoqueen δ,0.9478688580596792,v2_single_candidate,,,normal,,
